# wall time,egm tm, egm seqno, input joint, received joint
1542077926438.00000,709477.00000,1.00000,3.00000,-0.00000
1542077926438.00000,709481.00000,2.00000,2.99999,-0.00000
1542077926438.00000,709485.00000,3.00000,2.99996,-0.00000
1542077926438.00000,709489.00000,4.00000,2.99991,-0.00000
1542077926438.00000,709493.00000,5.00000,2.99985,-0.00000
1542077926438.00000,709497.00000,6.00000,2.99976,-0.00000
1542077926438.00000,709501.00000,7.00000,2.99966,-0.00000
1542077926438.00000,709505.00000,8.00000,2.99953,-0.00000
1542077926438.00000,709509.00000,9.00000,2.99939,-0.00000
1542077926448.00000,709513.00000,10.00000,2.99922,-0.00000
1542077926448.00000,709517.00000,11.00000,2.99904,-0.00000
1542077926448.00000,709521.00000,12.00000,2.99883,-0.00000
1542077926448.00000,709525.00000,13.00000,2.99861,-0.00000
1542077926448.00000,709529.00000,14.00000,2.99837,-0.00000
1542077926448.00000,709533.00000,15.00000,2.99810,-0.00000
1542077926448.00000,709537.00000,16.00000,2.99782,-0.00000
1542077926448.00000,709541.00000,17.00000,2.99751,-0.00000
1542077926448.00000,709545.00000,18.00000,2.99719,-0.00000
1542077926448.00000,709549.00000,19.00000,2.99684,-0.00000
1542077926458.00000,709553.00000,20.00000,2.99648,-0.00000
1542077926458.00000,709557.00000,21.00000,2.99609,-0.00000
1542077926458.00000,709561.00000,22.00000,2.99568,-0.00000
1542077926458.00000,709565.00000,23.00000,2.99525,-0.00000
1542077926458.00000,709569.00000,24.00000,2.99480,-0.00000
1542077926458.00000,709573.00000,25.00000,2.99433,-0.00000
1542077926458.00000,709577.00000,26.00000,2.99384,-0.00000
1542077926458.00000,709581.00000,27.00000,2.99333,-0.00000
1542077926458.00000,709585.00000,28.00000,2.99279,-0.00000
1542077926458.00000,709589.00000,29.00000,2.99224,-0.00000
1542077926458.00000,709593.00000,30.00000,2.99166,-0.00000
1542077926458.00000,709597.00000,31.00000,2.99106,-0.00000
1542077926458.00000,709601.00000,32.00000,2.99044,-0.00000
1542077926458.00000,709605.00000,33.00000,2.98980,-0.00000
1542077926458.00000,709609.00000,34.00000,2.98914,-0.00000
1542077926458.00000,709613.00000,35.00000,2.98845,-0.00000
1542077926458.00000,709617.00000,36.00000,2.98774,-0.00000
1542077926458.00000,709621.00000,37.00000,2.98701,-0.00000
1542077926458.00000,709625.00000,38.00000,2.98626,-0.00000
1542077926458.00000,709629.00000,39.00000,2.98549,-0.00000
1542077926458.00000,709633.00000,40.00000,2.98469,-0.00000
1542077926468.00000,709637.00000,41.00000,2.98387,-0.00000
1542077926468.00000,709641.00000,42.00000,2.98303,-0.00000
1542077926468.00000,709645.00000,43.00000,2.98216,-0.00000
1542077926468.00000,709649.00000,44.00000,2.98127,-0.00000
1542077926468.00000,709653.00000,45.00000,2.98036,-0.00000
1542077926468.00000,709657.00000,46.00000,2.97943,-0.00000
1542077926468.00000,709661.00000,47.00000,2.97847,-0.00000
1542077926468.00000,709665.00000,48.00000,2.97749,-0.00000
1542077926468.00000,709669.00000,49.00000,2.97649,-0.00000
1542077926468.00000,709673.00000,50.00000,2.97547,-0.00000
1542077926468.00000,709677.00000,51.00000,2.97442,-0.00000
1542077926468.00000,709681.00000,52.00000,2.97334,-0.00000
1542077926468.00000,709685.00000,53.00000,2.97225,-0.00000
1542077926468.00000,709689.00000,54.00000,2.97113,-0.00000
1542077926468.00000,709693.00000,55.00000,2.96998,-0.00000
1542077926468.00000,709697.00000,56.00000,2.96882,-0.00000
1542077926468.00000,709701.00000,57.00000,2.96762,-0.00000
1542077926468.00000,709705.00000,58.00000,2.96641,-0.00000
1542077926468.00000,709709.00000,59.00000,2.96517,-0.00000
1542077926468.00000,709713.00000,60.00000,2.96390,-0.00000
1542077926468.00000,709717.00000,61.00000,2.96262,-0.00000
1542077926468.00000,709721.00000,62.00000,2.96130,-0.00000
1542077926468.00000,709725.00000,63.00000,2.95997,-0.00000
1542077926478.00000,709729.00000,64.00000,2.95860,-0.00000
1542077926478.00000,709733.00000,65.00000,2.95722,-0.00000
1542077926478.00000,709737.00000,66.00000,2.95581,-0.00000
1542077926478.00000,709741.00000,67.00000,2.95437,-0.00000
1542077926478.00000,709745.00000,68.00000,2.95291,-0.00000
1542077926478.00000,709749.00000,69.00000,2.95142,-0.00000
1542077926478.00000,709753.00000,70.00000,2.94991,-0.00000
1542077926478.00000,709757.00000,71.00000,2.94838,-0.00000
1542077926478.00000,709761.00000,72.00000,2.94682,-0.00000
1542077926478.00000,709765.00000,73.00000,2.94523,-0.00000
1542077926478.00000,709769.00000,74.00000,2.94362,-0.00000
1542077926478.00000,709773.00000,75.00000,2.94198,-0.00000
1542077926478.00000,709777.00000,76.00000,2.94032,-0.00000
1542077926478.00000,709781.00000,77.00000,2.93863,-0.00000
1542077926478.00000,709785.00000,78.00000,2.93691,-0.00000
1542077926478.00000,709789.00000,79.00000,2.93517,-0.00000
1542077926478.00000,709793.00000,80.00000,2.93340,-0.00000
1542077926478.00000,709797.00000,81.00000,2.93161,-0.00000
1542077926478.00000,709801.00000,82.00000,2.92979,-0.00000
1542077926478.00000,709805.00000,83.00000,2.92795,-0.00000
1542077926478.00000,709809.00000,84.00000,2.92608,-0.00000
1542077926478.00000,709813.00000,85.00000,2.92418,-0.00000
1542077926478.00000,709817.00000,86.00000,2.92226,-0.00000
1542077926488.00000,709821.00000,87.00000,2.92031,-0.00000
1542077926488.00000,709825.00000,88.00000,2.91833,-0.00000
1542077926488.00000,709829.00000,89.00000,2.91632,-0.00000
1542077926488.00000,709833.00000,90.00000,2.91429,-0.00000
1542077926488.00000,709837.00000,91.00000,2.91224,-0.00000
1542077926488.00000,709841.00000,92.00000,2.91015,-0.00000
1542077926488.00000,709845.00000,93.00000,2.90804,-0.00000
1542077926488.00000,709849.00000,94.00000,2.90590,-0.00000
1542077926488.00000,709853.00000,95.00000,2.90373,-0.00000
1542077926488.00000,709857.00000,96.00000,2.90154,-0.00000
1542077926488.00000,709861.00000,97.00000,2.89932,-0.00000
1542077926488.00000,709865.00000,98.00000,2.89707,-0.00000
1542077926488.00000,709869.00000,99.00000,2.89480,-0.00000
1542077926488.00000,709873.00000,100.00000,2.89249,-0.00000
1542077926488.00000,709877.00000,101.00000,2.89016,-0.00000
1542077926488.00000,709881.00000,102.00000,2.88780,-0.00000
1542077926488.00000,709885.00000,103.00000,2.88542,-0.00000
1542077926488.00000,709889.00000,104.00000,2.88300,-0.00000
1542077926488.00000,709893.00000,105.00000,2.88056,-0.00000
1542077926488.00000,709897.00000,106.00000,2.87809,-0.00000
1542077926488.00000,709901.00000,107.00000,2.87559,-0.00000
1542077926488.00000,709905.00000,108.00000,2.87306,-0.00000
1542077926488.00000,709909.00000,109.00000,2.87051,-0.00000
1542077926498.00000,709913.00000,110.00000,2.86792,-0.00000
1542077926498.00000,709917.00000,111.00000,2.86531,-0.00000
1542077926498.00000,709921.00000,112.00000,2.86267,-0.00000
1542077926498.00000,709925.00000,113.00000,2.86000,-0.00000
1542077926498.00000,709929.00000,114.00000,2.85730,-0.00000
1542077926498.00000,709933.00000,115.00000,2.85457,-0.00000
1542077926498.00000,709937.00000,116.00000,2.85182,-0.00000
1542077926508.00000,709941.00000,117.00000,2.84903,-0.00000
1542077926508.00000,709945.00000,118.00000,2.84622,0.00002
1542077926528.00000,709949.00000,119.00000,2.84337,0.00013
1542077926528.00000,709953.00000,120.00000,2.84050,0.00055
1542077926528.00000,709957.00000,121.00000,2.83760,0.00158
1542077926548.00000,709961.00000,122.00000,2.83466,0.00367
1542077926548.00000,709965.00000,123.00000,2.83170,0.00735
1542077926568.00000,709969.00000,124.00000,2.82871,0.01335
1542077926568.00000,709973.00000,125.00000,2.82569,0.02244
1542077926568.00000,709977.00000,126.00000,2.82264,0.03538
1542077926588.00000,709981.00000,127.00000,2.81956,0.05300
1542077926588.00000,709985.00000,128.00000,2.81645,0.07617
1542077926608.00000,709989.00000,129.00000,2.81331,0.10576
1542077926608.00000,709993.00000,130.00000,2.81014,0.14261
1542077926608.00000,709997.00000,131.00000,2.80694,0.18749
1542077926628.00000,710001.00000,132.00000,2.80371,0.24107
1542077926628.00000,710005.00000,133.00000,2.80046,0.30385
1542077926648.00000,710009.00000,134.00000,2.79717,0.37613
1542077926648.00000,710013.00000,135.00000,2.79384,0.45797
1542077926648.00000,710017.00000,136.00000,2.79049,0.54918
1542077926668.00000,710021.00000,137.00000,2.78711,0.64938
1542077926668.00000,710025.00000,138.00000,2.78370,0.75799
1542077926688.00000,710029.00000,139.00000,2.78026,0.87421
1542077926688.00000,710033.00000,140.00000,2.77678,0.99710
1542077926688.00000,710037.00000,141.00000,2.77328,1.12555
1542077926708.00000,710041.00000,142.00000,2.76975,1.25831
1542077926708.00000,710045.00000,143.00000,2.76618,1.39404
1542077926728.00000,710049.00000,144.00000,2.76258,1.53138
1542077926728.00000,710053.00000,145.00000,2.75896,1.66899
1542077926728.00000,710057.00000,146.00000,2.75530,1.80563
1542077926748.00000,710061.00000,147.00000,2.75161,1.94013
1542077926748.00000,710065.00000,148.00000,2.74788,2.07148
1542077926768.00000,710069.00000,149.00000,2.74413,2.19883
1542077926768.00000,710073.00000,150.00000,2.74035,2.32149
1542077926768.00000,710077.00000,151.00000,2.73653,2.43885
1542077926789.00000,710081.00000,152.00000,2.73268,2.55047
1542077926792.00000,710085.00000,153.00000,2.72881,2.65606
1542077926803.00000,710089.00000,154.00000,2.72490,2.75555
1542077926804.00000,710093.00000,155.00000,2.72095,2.84894
1542077926806.00000,710097.00000,156.00000,2.71698,2.93636
1542077926818.00000,710101.00000,157.00000,2.71297,3.01805
1542077926819.00000,710105.00000,158.00000,2.70894,3.09428
1542077926833.00000,710109.00000,159.00000,2.70487,3.16532
