# egm tm, desired joint, input joint, received joint
741989.00000,2.99384,2.88716,-0.00000
741993.00000,2.99333,2.88620,-0.00000
741997.00000,2.99279,2.92379,-0.00000
742001.00000,2.99224,2.91559,-0.00000
742005.00000,2.99166,2.90899,-0.00000
742009.00000,2.99106,2.88032,-0.00000
742013.00000,2.99044,2.89109,-0.00000
742017.00000,2.98980,2.87883,-0.00000
742021.00000,2.98914,2.88061,-0.00000
742025.00000,2.98845,2.89096,-0.00000
742029.00000,2.98774,2.87218,-0.00000
742033.00000,2.98701,2.89086,-0.00000
742037.00000,2.98626,2.85933,-0.00000
742041.00000,2.98549,2.83987,-0.00000
742045.00000,2.98469,2.85807,-0.00000
742049.00000,2.98387,2.85093,-0.00000
742053.00000,2.98303,2.85157,-0.00000
742057.00000,2.98216,2.86326,-0.00000
742061.00000,2.98127,2.83125,-0.00000
742065.00000,2.98036,2.84259,-0.00000
742069.00000,2.97943,2.83188,-0.00000
742073.00000,2.97847,2.86847,-0.00000
742077.00000,2.97749,2.83980,-0.00000
742081.00000,2.97649,2.82968,-0.00000
742085.00000,2.97547,2.82381,-0.00000
742089.00000,2.97442,2.83607,-0.00000
742093.00000,2.97334,2.83530,-0.00000
742097.00000,2.97225,2.87180,-0.00000
742101.00000,2.97113,2.86399,-0.00000
742105.00000,2.96998,2.85672,-0.00000
742109.00000,2.96882,2.82836,-0.00000
742113.00000,2.96762,2.83556,-0.00000
742117.00000,2.96641,2.82332,-0.00000
742121.00000,2.96517,2.82505,-0.00000
742125.00000,2.96390,2.83606,-0.00000
742129.00000,2.96262,2.81678,-0.00000
742133.00000,2.96130,2.83314,-0.00000
742137.00000,2.95997,2.80215,-0.00000
742141.00000,2.95860,2.78159,-0.00000
742145.00000,2.95722,2.80144,-0.00000
742149.00000,2.95581,2.79222,-0.00000
742153.00000,2.95437,2.79163,-0.00000
742157.00000,2.95291,2.80290,-0.00000
742161.00000,2.95142,2.77129,-0.00000
742165.00000,2.94991,2.78253,-0.00000
742169.00000,2.94838,2.77046,-0.00000
742173.00000,2.94682,2.80466,-0.00000
742177.00000,2.94523,2.77625,-0.00000
742181.00000,2.94362,2.76650,-0.00000
742185.00000,2.94198,2.75904,-0.00000
742189.00000,2.94032,2.76799,-0.00000
742193.00000,2.93863,2.76730,-0.00000
742197.00000,2.93691,2.80285,-0.00000
742201.00000,2.93517,2.79553,-0.00000
742205.00000,2.93340,2.78726,-0.00000
742209.00000,2.93161,2.75936,-0.00000
742213.00000,2.92979,2.76274,-0.00000
742217.00000,2.92795,2.75059,-0.00000
742221.00000,2.92608,2.75240,-0.00000
