# egm tm, desired joint, input joint, received joint
551802.00000,2.99384,2.88716,-0.00000
551806.00000,2.99333,2.88620,-0.00000
551810.00000,2.99279,2.92379,-0.00000
551814.00000,2.99224,2.91559,-0.00000
551818.00000,2.99166,2.90899,-0.00000
551822.00000,2.99106,2.88032,-0.00000
551826.00000,2.99044,2.89109,-0.00000
551830.00000,2.98980,2.87883,-0.00000
551834.00000,2.98914,2.88061,-0.00000
551838.00000,2.98845,2.89096,-0.00000
551842.00000,2.98774,2.87218,-0.00000
551846.00000,2.98701,2.89086,-0.00000
551850.00000,2.98626,2.85933,-0.00000
551854.00000,2.98549,2.83987,-0.00000
551858.00000,2.98469,2.85807,-0.00000
551862.00000,2.98387,2.85093,-0.00000
551866.00000,2.98303,2.85157,-0.00000
551870.00000,2.98216,2.86326,-0.00000
551874.00000,2.98127,2.83125,-0.00000
551878.00000,2.98036,2.84259,-0.00000
551882.00000,2.97943,2.83188,-0.00000
551886.00000,2.97847,2.86847,-0.00000
551890.00000,2.97749,2.83980,-0.00000
551894.00000,2.97649,2.82968,-0.00000
551898.00000,2.97547,2.82381,-0.00000
551902.00000,2.97442,2.83607,-0.00000
551906.00000,2.97334,2.83530,-0.00000
551910.00000,2.97225,2.87180,-0.00000
551914.00000,2.97113,2.86399,-0.00000
551918.00000,2.96998,2.85672,-0.00000
551922.00000,2.96882,2.82836,-0.00000
551926.00000,2.96762,2.83556,-0.00000
551930.00000,2.96641,2.82332,-0.00000
551934.00000,2.96517,2.82505,-0.00000
551938.00000,2.96390,2.83606,-0.00000
551942.00000,2.96262,2.81678,-0.00000
551946.00000,2.96130,2.83314,-0.00000
551950.00000,2.95997,2.80215,-0.00000
551954.00000,2.95860,2.78159,-0.00000
551958.00000,2.95722,2.80144,-0.00000
551962.00000,2.95581,2.79222,-0.00000
551966.00000,2.95437,2.79163,-0.00000
551970.00000,2.95291,2.80290,-0.00000
551974.00000,2.95142,2.77129,-0.00000
551978.00000,2.94991,2.78253,-0.00000
551982.00000,2.94838,2.77046,-0.00000
551986.00000,2.94682,2.80466,-0.00000
551990.00000,2.94523,2.77625,-0.00000
551994.00000,2.94362,2.76650,-0.00000
551998.00000,2.94198,2.75904,-0.00000
552002.00000,2.94032,2.76799,-0.00000
552006.00000,2.93863,2.76730,-0.00000
552010.00000,2.93691,2.80285,-0.00000
552014.00000,2.93517,2.79553,-0.00000
552018.00000,2.93340,2.78726,-0.00000
552022.00000,2.93161,2.75936,-0.00000
552026.00000,2.92979,2.76274,-0.00000
552030.00000,2.92795,2.75059,-0.00000
552034.00000,2.92608,2.75240,-0.00000
552038.00000,2.92418,2.76398,-0.00000
552042.00000,2.92226,2.74413,-0.00000
552046.00000,2.92031,2.75813,-0.00000
552050.00000,2.91833,2.72749,-0.00000
552054.00000,2.91632,2.70581,-0.00000
552058.00000,2.91429,2.72759,-0.00000
552062.00000,2.91224,2.71615,-0.00000
552066.00000,2.91015,2.71436,-0.00000
552070.00000,2.90804,2.72513,-0.00000
552074.00000,2.90590,2.69378,0.00014
552078.00000,2.90373,2.70508,0.00089
552082.00000,2.90154,2.69151,0.00296
