# wall time,egm tm, egm seqno, input joint, received joint
1542074112889.00000,1556139.00000,1.00000,3.00000,0.00000
1542074112890.00000,1556143.00000,2.00000,2.99999,0.00000
1542074112891.00000,1556147.00000,3.00000,2.99996,0.00000
1542074112892.00000,1556151.00000,4.00000,2.99991,0.00000
1542074112893.00000,1556155.00000,5.00000,2.99985,0.00000
1542074112894.00000,1556159.00000,6.00000,2.99976,0.00000
1542074112895.00000,1556163.00000,7.00000,2.99966,0.00000
1542074112896.00000,1556167.00000,8.00000,2.99953,0.00000
1542074112897.00000,1556171.00000,9.00000,2.99939,0.00000
1542074112898.00000,1556175.00000,10.00000,2.99922,0.00000
1542074112899.00000,1556179.00000,11.00000,2.99904,0.00000
1542074112900.00000,1556183.00000,12.00000,2.99883,0.00000
1542074112901.00000,1556187.00000,13.00000,2.99861,0.00000
1542074112902.00000,1556191.00000,14.00000,2.99837,0.00000
1542074112903.00000,1556195.00000,15.00000,2.99810,0.00000
1542074112904.00000,1556199.00000,16.00000,2.99782,0.00000
1542074112905.00000,1556203.00000,17.00000,2.99751,0.00000
1542074112906.00000,1556207.00000,18.00000,2.99719,0.00000
1542074112907.00000,1556211.00000,19.00000,2.99684,0.00000
1542074112908.00000,1556215.00000,20.00000,2.99648,0.00000
1542074112909.00000,1556219.00000,21.00000,2.99609,0.00000
1542074112910.00000,1556223.00000,22.00000,2.99568,0.00000
1542074112910.00000,1556227.00000,23.00000,2.99525,0.00000
1542074112911.00000,1556231.00000,24.00000,2.99480,0.00000
1542074112911.00000,1556235.00000,25.00000,2.99433,0.00000
1542074112912.00000,1556239.00000,26.00000,2.99384,0.00000
1542074112912.00000,1556243.00000,27.00000,2.99333,0.00000
1542074112912.00000,1556247.00000,28.00000,2.99279,0.00000
1542074112913.00000,1556251.00000,29.00000,2.99224,0.00000
1542074112913.00000,1556255.00000,30.00000,2.99166,0.00000
1542074112914.00000,1556259.00000,31.00000,2.99106,0.00000
1542074112914.00000,1556263.00000,32.00000,2.99044,0.00000
1542074112914.00000,1556267.00000,33.00000,2.98980,0.00000
