# wall time,egm tm, egm seqno, input joint, received joint
1542081471540.00000,1466487.00000,1.00000,0.00000,-0.00000
1542081471540.00000,1466491.00000,2.00000,0.15997,-0.00000
1542081471540.00000,1466495.00000,3.00000,0.31978,-0.00000
1542081471540.00000,1466499.00000,4.00000,0.47926,-0.00000
1542081471540.00000,1466503.00000,5.00000,0.63825,-0.00000
1542081471540.00000,1466507.00000,6.00000,0.79659,-0.00000
1542081471540.00000,1466511.00000,7.00000,0.95411,-0.00000
1542081471540.00000,1466515.00000,8.00000,1.11066,-0.00000
1542081471540.00000,1466519.00000,9.00000,1.26606,-0.00000
1542081471549.00000,1466523.00000,10.00000,1.42018,-0.00000
1542081471549.00000,1466527.00000,11.00000,1.57283,-0.00000
1542081471549.00000,1466531.00000,12.00000,1.72388,-0.00000
1542081471549.00000,1466535.00000,13.00000,1.87316,-0.00000
1542081471549.00000,1466539.00000,14.00000,2.02052,-0.00000
1542081471549.00000,1466543.00000,15.00000,2.16582,-0.00000
1542081471549.00000,1466547.00000,16.00000,2.30890,-0.00000
1542081471549.00000,1466551.00000,17.00000,2.44961,-0.00000
1542081471549.00000,1466555.00000,18.00000,2.58781,-0.00000
1542081471549.00000,1466559.00000,19.00000,2.72337,-0.00000
1542081471559.00000,1466563.00000,20.00000,2.85614,-0.00000
1542081471559.00000,1466567.00000,21.00000,2.98598,-0.00000
1542081471559.00000,1466571.00000,22.00000,3.11276,-0.00000
1542081471559.00000,1466575.00000,23.00000,3.23636,-0.00000
1542081471559.00000,1466579.00000,24.00000,3.35664,-0.00000
1542081471559.00000,1466583.00000,25.00000,3.47349,-0.00000
1542081471559.00000,1466587.00000,26.00000,3.58678,-0.00000
1542081471559.00000,1466591.00000,27.00000,3.69640,-0.00000
1542081471559.00000,1466595.00000,28.00000,3.80223,-0.00000
1542081471559.00000,1466599.00000,29.00000,3.90417,-0.00000
1542081471569.00000,1466603.00000,30.00000,4.00211,-0.00000
1542081471569.00000,1466607.00000,31.00000,4.09596,-0.00000
1542081471569.00000,1466611.00000,32.00000,4.18561,-0.00000
1542081471569.00000,1466615.00000,33.00000,4.27097,-0.00000
1542081471569.00000,1466619.00000,34.00000,4.35197,-0.00000
1542081471569.00000,1466623.00000,35.00000,4.42850,-0.00000
1542081471569.00000,1466627.00000,36.00000,4.50050,-0.00000
1542081471569.00000,1466631.00000,37.00000,4.56790,-0.00000
1542081471569.00000,1466635.00000,38.00000,4.63061,-0.00000
1542081471569.00000,1466639.00000,39.00000,4.68859,-0.00000
1542081471579.00000,1466643.00000,40.00000,4.74176,-0.00000
1542081471579.00000,1466647.00000,41.00000,4.79008,-0.00000
1542081471579.00000,1466651.00000,42.00000,4.83349,-0.00000
1542081471579.00000,1466655.00000,43.00000,4.87196,-0.00000
1542081471579.00000,1466659.00000,44.00000,4.90544,-0.00000
1542081471579.00000,1466663.00000,45.00000,4.93389,-0.00000
1542081471579.00000,1466667.00000,46.00000,4.95729,-0.00000
1542081471579.00000,1466671.00000,47.00000,4.97562,-0.00000
1542081471579.00000,1466675.00000,48.00000,4.98885,-0.00000
1542081471579.00000,1466679.00000,49.00000,4.99697,-0.00000
1542081471579.00000,1466683.00000,50.00000,4.99998,-0.00000
1542081471579.00000,1466687.00000,51.00000,4.99787,-0.00000
1542081471579.00000,1466691.00000,52.00000,4.99064,-0.00000
1542081471579.00000,1466695.00000,53.00000,4.97830,-0.00000
1542081471579.00000,1466699.00000,54.00000,4.96086,-0.00000
1542081471589.00000,1466703.00000,55.00000,4.93834,-0.00000
1542081471589.00000,1466707.00000,56.00000,4.91077,-0.00000
1542081471589.00000,1466711.00000,57.00000,4.87817,-0.00000
1542081471589.00000,1466715.00000,58.00000,4.84057,-0.00000
1542081471589.00000,1466719.00000,59.00000,4.79802,-0.00000
1542081471589.00000,1466723.00000,60.00000,4.75056,-0.00000
1542081471589.00000,1466727.00000,61.00000,4.69823,-0.00000
1542081471589.00000,1466731.00000,62.00000,4.64109,-0.00000
1542081471589.00000,1466735.00000,63.00000,4.57920,-0.00000
1542081471589.00000,1466739.00000,64.00000,4.51261,-0.00000
1542081471589.00000,1466743.00000,65.00000,4.44141,-0.00000
1542081471589.00000,1466747.00000,66.00000,4.36566,-0.00000
1542081471589.00000,1466751.00000,67.00000,4.28545,-0.00000
1542081471589.00000,1466755.00000,68.00000,4.20084,-0.00000
1542081471589.00000,1466759.00000,69.00000,4.11193,-0.00000
1542081471589.00000,1466763.00000,70.00000,4.01881,-0.00000
1542081471589.00000,1466767.00000,71.00000,3.92158,-0.00000
1542081471589.00000,1466771.00000,72.00000,3.82033,-0.00000
1542081471589.00000,1466775.00000,73.00000,3.71517,-0.00000
1542081471589.00000,1466779.00000,74.00000,3.60621,-0.00000
