# egm tm, desired joint, input joint, received joint
1548287.00000,3.58678,0.00228,-0.00000
1548291.00000,3.69640,-0.00118,-0.00000
1548295.00000,3.80223,-0.01207,-0.00000
1548299.00000,3.90417,-0.03430,-0.00000
1548303.00000,4.00211,-0.06692,-0.00000
1548307.00000,4.09596,-0.10496,-0.00000
1548311.00000,4.18561,-0.15183,-0.00000
1548315.00000,4.27097,-0.20556,-0.00000
1548319.00000,4.35197,-0.26313,-0.00000
1548323.00000,4.42850,-0.33132,-0.00000
1548327.00000,4.50050,-0.40820,-0.00000
1548331.00000,4.56790,-0.49417,-0.00000
1548335.00000,4.63061,-0.58754,-0.00000
1548339.00000,4.68859,-0.68702,-0.00000
1548343.00000,4.74176,-0.79211,-0.00000
1548347.00000,4.79008,-0.90363,-0.00000
1548351.00000,4.83349,-1.02317,-0.00000
1548355.00000,4.87196,-1.14823,-0.00000
1548359.00000,4.90544,-1.27551,-0.00000
1548363.00000,4.93389,-1.41144,-0.00000
1548367.00000,4.95729,-1.55314,-0.00000
1548371.00000,4.97562,-1.69463,-0.00000
1548375.00000,4.98885,-1.83598,-0.00000
1548379.00000,4.99697,-1.96937,-0.00000
1548383.00000,4.99998,-2.09648,-0.00000
1548387.00000,4.99787,-2.27724,-0.00000
1548391.00000,4.99064,-2.45922,-0.00000
1548395.00000,4.97830,-2.63532,-0.00000
1548399.00000,4.96086,-2.81773,-0.00000
1548403.00000,4.93834,-2.99944,-0.00000
1548407.00000,4.91077,-3.17780,-0.00000
1548411.00000,4.87817,-3.35168,-0.00000
1548415.00000,4.84057,-3.51938,-0.00000
1548419.00000,4.79802,-3.68817,-0.00000
1548423.00000,4.75056,-3.85570,-0.00000
1548427.00000,4.69823,-4.02031,-0.00000
1548431.00000,4.64109,-4.18081,-0.00000
1548435.00000,4.57920,-4.33597,-0.00000
1548439.00000,4.51261,-4.49374,-0.00000
1548443.00000,4.44141,-4.64294,-0.00000
1548447.00000,4.36566,-4.79838,-0.00000
1548451.00000,4.28545,-4.94731,-0.00000
1548455.00000,4.20084,-5.08962,-0.00000
1548459.00000,4.11193,-5.23331,-0.00000
1548463.00000,4.01881,-5.37534,-0.00000
1548467.00000,3.92158,-5.46077,-0.00000
1548471.00000,3.82033,-5.53368,-0.00000
1548475.00000,3.71517,-5.60817,-0.00000
1548479.00000,3.60621,-5.67144,-0.00000
1548483.00000,3.49355,-5.72505,-0.00000
1548487.00000,3.37732,-5.77217,-0.00000
1548491.00000,3.25762,-5.81939,-0.00000
1548495.00000,3.13460,-5.86541,-0.00000
1548499.00000,3.00836,-5.90226,-0.00000
1548503.00000,2.87904,-5.93289,-0.00000
1548507.00000,2.74678,-5.95936,-0.00000
1548511.00000,2.61170,-5.98124,-0.00000
1548515.00000,2.47395,-6.00154,-0.00000
1548519.00000,2.33366,-6.02068,-0.00000
1548523.00000,2.19099,-6.03057,-0.00000
1548527.00000,2.04607,-6.03037,-0.00000
1548531.00000,1.89906,-6.02721,-0.00000
1548535.00000,1.75010,-6.01680,-0.00000
1548539.00000,1.59935,-5.99468,-0.00000
1548543.00000,1.44697,-5.97266,-0.00000
1548547.00000,1.29310,-5.93806,-0.00000
1548551.00000,1.13790,-5.91244,-0.00000
1548555.00000,0.98155,-5.87222,-0.00000
1548559.00000,0.82418,-5.82379,-0.00000
1548563.00000,0.66598,-5.77433,-0.00000
1548567.00000,0.50709,-5.71597,-0.00000
1548571.00000,0.34768,-5.64718,-0.00000
1548575.00000,0.18792,-5.56734,-0.00000
1548579.00000,0.02796,-5.49388,-0.00000
1548583.00000,-0.13202,-5.41026,-0.00000
1548587.00000,-0.29187,-5.31901,0.00000
1548591.00000,-0.45142,-5.21631,-0.00008
