# wall time,egm tm, egm seqno, input joint, received joint
1542082096519.00000,626292.00000,1.00000,0.00000,0.00000
1542082096519.00000,626296.00000,2.00000,0.15997,0.00000
1542082096519.00000,626300.00000,3.00000,0.31978,0.00000
1542082096519.00000,626304.00000,4.00000,0.47926,0.00000
1542082096519.00000,626308.00000,5.00000,0.63825,0.00000
1542082096519.00000,626312.00000,6.00000,0.79659,0.00000
1542082096519.00000,626316.00000,7.00000,0.95411,0.00000
1542082096529.00000,626320.00000,8.00000,1.11066,0.00000
1542082096529.00000,626324.00000,9.00000,1.26606,0.00000
1542082096529.00000,626328.00000,10.00000,1.42018,0.00000
1542082096529.00000,626332.00000,11.00000,1.57283,0.00000
1542082096529.00000,626336.00000,12.00000,1.72388,0.00000
1542082096529.00000,626340.00000,13.00000,1.87316,0.00000
1542082096529.00000,626344.00000,14.00000,2.02052,0.00000
1542082096539.00000,626348.00000,15.00000,2.16582,0.00000
1542082096539.00000,626352.00000,16.00000,2.30890,0.00000
1542082096539.00000,626356.00000,17.00000,2.44961,0.00000
1542082096539.00000,626360.00000,18.00000,2.58781,0.00000
1542082096539.00000,626364.00000,19.00000,2.72337,0.00000
1542082096539.00000,626368.00000,20.00000,2.85614,0.00000
1542082096539.00000,626372.00000,21.00000,2.98598,0.00000
1542082096539.00000,626376.00000,22.00000,3.11276,0.00000
1542082096539.00000,626380.00000,23.00000,3.23636,0.00000
1542082096549.00000,626384.00000,24.00000,3.35664,0.00000
1542082096549.00000,626388.00000,25.00000,3.47349,0.00000
1542082096549.00000,626392.00000,26.00000,3.58678,0.00000
1542082096549.00000,626396.00000,27.00000,3.69640,0.00000
1542082096549.00000,626400.00000,28.00000,3.80223,0.00000
1542082096549.00000,626404.00000,29.00000,3.90417,0.00000
1542082096549.00000,626408.00000,30.00000,4.00211,0.00000
1542082096549.00000,626412.00000,31.00000,4.09596,0.00000
1542082096549.00000,626416.00000,32.00000,4.18561,0.00000
1542082096549.00000,626420.00000,33.00000,4.27097,0.00000
1542082096549.00000,626424.00000,34.00000,4.35197,0.00000
1542082096549.00000,626428.00000,35.00000,4.42850,0.00000
1542082096549.00000,626432.00000,36.00000,4.50050,0.00000
1542082096549.00000,626436.00000,37.00000,4.56790,0.00000
1542082096549.00000,626440.00000,38.00000,4.63061,0.00000
1542082096549.00000,626444.00000,39.00000,4.68859,0.00000
1542082096549.00000,626448.00000,40.00000,4.74176,0.00000
1542082096549.00000,626452.00000,41.00000,4.79008,0.00000
