# egm tm, desired joint, input joint, received joint
708752.00000,3.58678,0.00228,0.00000
708756.00000,3.69640,-0.00118,0.00000
708760.00000,3.80223,-0.01207,0.00000
708764.00000,3.90417,-0.03430,0.00000
708768.00000,4.00211,-0.06692,0.00000
708772.00000,4.09596,-0.10496,0.00000
708776.00000,4.18561,-0.15183,0.00000
708780.00000,4.27097,-0.20556,0.00000
708784.00000,4.35197,-0.26313,0.00000
708788.00000,4.42850,-0.33132,0.00000
708792.00000,4.50050,-0.40820,0.00000
708796.00000,4.56790,-0.49417,0.00000
708800.00000,4.63061,-0.58754,0.00000
708804.00000,4.68859,-0.68702,0.00000
708808.00000,4.74176,-0.79211,0.00000
708812.00000,4.79008,-0.90363,0.00000
708816.00000,4.83349,-1.02317,0.00000
708820.00000,4.87196,-1.14823,0.00000
708824.00000,4.90544,-1.27551,0.00000
708828.00000,4.93389,-1.41144,0.00000
708832.00000,4.95729,-1.55314,0.00000
708836.00000,4.97562,-1.69463,0.00000
708840.00000,4.98885,-1.83598,0.00000
708844.00000,4.99697,-1.96937,0.00000
708848.00000,4.99998,-2.09648,0.00000
708852.00000,4.99787,-2.27724,0.00000
708856.00000,4.99064,-2.45922,0.00000
708860.00000,4.97830,-2.63532,0.00000
708864.00000,4.96086,-2.81773,0.00000
708868.00000,4.93834,-2.99944,0.00000
708872.00000,4.91077,-3.17780,0.00000
708876.00000,4.87817,-3.35168,0.00000
708880.00000,4.84057,-3.51938,0.00000
708884.00000,4.79802,-3.68817,0.00000
708888.00000,4.75056,-3.85570,0.00000
708892.00000,4.69823,-4.02031,0.00000
708896.00000,4.64109,-4.18081,0.00000
708900.00000,4.57920,-4.33597,0.00000
708904.00000,4.51261,-4.49374,0.00000
708908.00000,4.44141,-4.64294,0.00000
708912.00000,4.36566,-4.79838,0.00000
708916.00000,4.28545,-4.94731,0.00000
708920.00000,4.20084,-5.08962,0.00000
708924.00000,4.11193,-5.23331,0.00000
708928.00000,4.01881,-5.37534,0.00000
708932.00000,3.92158,-5.46077,0.00000
708936.00000,3.82033,-5.53368,0.00000
708940.00000,3.71517,-5.60817,0.00000
708944.00000,3.60621,-5.67144,0.00000
708948.00000,3.49355,-5.72505,0.00000
708952.00000,3.37732,-5.77217,0.00000
708956.00000,3.25762,-5.81939,0.00000
708960.00000,3.13460,-5.86541,0.00000
708964.00000,3.00836,-5.90226,0.00000
708968.00000,2.87904,-5.93289,0.00000
708972.00000,2.74678,-5.95936,0.00000
708976.00000,2.61170,-5.98124,0.00000
708980.00000,2.47395,-6.00154,0.00000
708984.00000,2.33366,-6.02068,0.00000
708988.00000,2.19099,-6.03057,0.00000
708992.00000,2.04607,-6.03037,0.00000
708996.00000,1.89906,-6.02721,0.00000
709000.00000,1.75010,-6.01680,0.00000
709004.00000,1.59935,-5.99468,0.00000
709008.00000,1.44697,-5.97266,0.00000
709012.00000,1.29310,-5.93806,0.00000
709016.00000,1.13790,-5.91244,0.00000
709020.00000,0.98155,-5.87222,0.00000
709024.00000,0.82418,-5.82379,0.00000
709028.00000,0.66598,-5.77433,-0.00017
709032.00000,0.50709,-5.71597,-0.00114
709036.00000,0.34768,-5.64718,-0.00386
709040.00000,0.18792,-5.56734,-0.00925
709044.00000,0.02796,-5.49388,-0.01776
709048.00000,-0.13202,-5.41026,-0.02958
709052.00000,-0.29187,-5.31901,-0.04470
709056.00000,-0.45142,-5.21631,-0.06278
709060.00000,-0.61051,-5.11208,-0.08318
709064.00000,-0.76897,-4.99439,-0.10545
709068.00000,-0.92665,-4.88142,-0.12963
709072.00000,-1.08338,-4.76106,-0.15612
709076.00000,-1.23899,-4.64035,-0.18532
709080.00000,-1.39334,-4.52092,-0.21721
709084.00000,-1.54626,-4.39701,-0.25141
709088.00000,-1.69760,-4.26834,-0.28740
709092.00000,-1.84720,-4.13778,-0.32494
709096.00000,-1.99491,-3.99494,-0.36403
709100.00000,-2.14058,-3.85879,-0.40485
709104.00000,-2.28406,-3.72510,-0.44784
709108.00000,-2.42519,-3.58010,-0.49372
709112.00000,-2.56385,-3.44543,-0.54313
709116.00000,-2.69987,-3.30439,-0.59638
709120.00000,-2.83314,-3.17031,-0.65332
709124.00000,-2.96350,-3.02567,-0.71365
709128.00000,-3.09083,-2.88750,-0.77698
709132.00000,-3.21499,-2.75293,-0.84291
709136.00000,-3.33587,-2.62531,-0.91107
709140.00000,-3.45332,-2.49275,-0.98101
709144.00000,-3.56724,-2.36132,-1.05224
709148.00000,-3.67751,-2.22653,-1.12430
709152.00000,-3.78401,-2.00540,-1.19690
709156.00000,-3.88664,-1.77884,-1.26994
709160.00000,-3.98529,-1.55253,-1.34336
709164.00000,-4.07986,-1.32607,-1.41710
709168.00000,-4.17025,-1.09274,-1.49109
709172.00000,-4.25637,-0.86523,-1.56526
709176.00000,-4.33813,-0.63334,-1.63943
709180.00000,-4.41545,-0.40274,-1.71325
709184.00000,-4.48825,-0.16838,-1.78633
709188.00000,-4.55645,0.05928,-1.85836
709192.00000,-4.61999,0.29143,-1.92911
709196.00000,-4.67880,0.51782,-1.99834
709200.00000,-4.73282,0.74439,-2.06582
709204.00000,-4.78199,0.97095,-2.13132
709208.00000,-4.82626,1.19486,-2.19463
709212.00000,-4.86559,1.42538,-2.25556
709216.00000,-4.89995,1.65490,-2.31393
709220.00000,-4.92928,1.87936,-2.36960
709224.00000,-4.95357,2.09868,-2.42241
709228.00000,-4.97278,2.31673,-2.47221
709232.00000,-4.98691,2.44626,-2.51881
709236.00000,-4.99592,2.56819,-2.56207
709240.00000,-4.99982,2.68989,-2.60188
709244.00000,-4.99861,2.79847,-2.63811
709248.00000,-4.99227,2.90073,-2.67066
709252.00000,-4.98082,3.01468,-2.69944
709256.00000,-4.96428,3.12609,-2.72435
709260.00000,-4.94265,3.23461,-2.74530
709264.00000,-4.91595,3.34064,-2.76218
709268.00000,-4.88423,3.44704,-2.77486
709272.00000,-4.84750,3.55337,-2.78325
709276.00000,-4.80581,3.65956,-2.78728
709280.00000,-4.75920,3.76237,-2.78696
709284.00000,-4.70772,3.86331,-2.78224
709288.00000,-4.65142,3.96560,-2.77311
709292.00000,-4.59035,4.06075,-2.75957
709296.00000,-4.52459,4.15269,-2.74163
709300.00000,-4.45419,4.24475,-2.71929
709304.00000,-4.37923,4.33903,-2.69255
709308.00000,-4.29978,4.42855,-2.66140
709312.00000,-4.21594,4.51408,-2.62586
709316.00000,-4.12778,4.59638,-2.58600
709320.00000,-4.03539,4.68411,-2.54186
709324.00000,-3.93887,4.77269,-2.49348
709328.00000,-3.83831,4.85692,-2.44088
709332.00000,-3.73383,4.91981,-2.38412
709336.00000,-3.62552,4.97682,-2.32325
709340.00000,-3.51350,5.03561,-2.25835
709344.00000,-3.39788,5.08846,-2.18949
709348.00000,-3.27879,5.13703,-2.11678
709352.00000,-3.15633,5.20178,-2.04035
709356.00000,-3.03065,5.25945,-1.96033
709360.00000,-2.90186,5.31592,-1.87689
709364.00000,-2.77010,5.36326,-1.79013
709368.00000,-2.63550,5.40578,-1.70018
709372.00000,-2.49821,5.44286,-1.60715
709376.00000,-2.35836,5.47629,-1.51119
709380.00000,-2.21609,5.50639,-1.41244
709384.00000,-2.07155,5.52480,-1.31102
709388.00000,-1.92490,5.54169,-1.20707
709392.00000,-1.77627,5.55179,-1.10073
709396.00000,-1.62582,5.55619,-0.99213
709400.00000,-1.47371,5.54815,-0.88141
709404.00000,-1.32009,5.53653,-0.76868
709408.00000,-1.16512,5.52449,-0.65405
709412.00000,-1.00895,5.50922,-0.53766
709416.00000,-0.85175,5.48415,-0.41965
709420.00000,-0.69368,5.45128,-0.30018
709424.00000,-0.53490,5.41019,-0.17938
709428.00000,-0.37557,5.36059,-0.05740
709432.00000,-0.21586,5.28534,0.06562
709436.00000,-0.05593,5.20614,0.18954
709440.00000,0.10407,5.11854,0.31418
709444.00000,0.26395,5.02855,0.43934
709448.00000,0.42357,4.93200,0.56478
709452.00000,0.58275,4.83207,0.69027
709456.00000,0.74133,4.72422,0.81573
709460.00000,0.89916,4.61224,0.94113
709464.00000,1.05606,4.49792,1.06648
709468.00000,1.21188,4.38010,1.19180
709472.00000,1.36646,4.25801,1.31707
709476.00000,1.51965,4.13542,1.44225
709480.00000,1.67128,4.01359,1.56717
709484.00000,1.82119,3.88831,1.69159
709488.00000,1.96924,3.75418,1.81526
709492.00000,2.11528,3.62310,1.93798
709496.00000,2.25915,3.49243,2.05959
709500.00000,2.40070,3.35815,2.17993
709504.00000,2.53980,3.22396,2.29887
709508.00000,2.67630,3.09448,2.41624
709512.00000,2.81005,2.96275,2.53188
709516.00000,2.94093,2.82770,2.64564
709520.00000,3.06880,2.69612,2.75738
709524.00000,3.19353,2.56626,2.86694
